# pillbox-gtin version=2026-09-09 count=57672
#
# Штрихкоды упаковок. Собирается скриптом tools/extract_esklp.py —
# правьте исходники, а не этот файл.
#
# Два источника:
#   ЕСКЛП (Минздрав) — только ЖНВЛП: штрихкод там лежит в блоке
#     предельных цен, а он заполняется лишь для препаратов из перечня;
#   source/gtin_manual.tsv — коды с упаковок, внесённые вручную
#     (0 шт.): препараты вне перечня и БАДы.
#
# Код приведён к 14 знакам — так он приходит из кода маркировки.
#
# manual-gtins:
#
# Формат: код;название;действующее вещество;форма;дозировка;единица
gtin;name;inn;form;strength;unit
01210001154919;Липримар;Аторвастатин;TABLET;20;MG
01210001154926;Лирика;Прегабалин;CAPSULE;150;MG
01210001154933;Лирика;Прегабалин;CAPSULE;150;MG
01210001154940;Лирика;Прегабалин;CAPSULE;75;MG
01210001155084;Лирика;Прегабалин;CAPSULE;300;MG
01210001155091;Лирика;Прегабалин;CAPSULE;75;MG
01210001155145;Кардура;Доксазозин;TABLET;1;MG
01210001155152;Кардура;Доксазозин;TABLET;2;MG
01210001155176;Норваск;Амлодипин;TABLET;10;MG
01210001155183;Кардура;Доксазозин;TABLET;4;MG
01210001155213;Золофт;Сертралин;TABLET;50;MG
01210001155220;Золофт;Сертралин;TABLET;100;MG
01210001155237;Норваск;Амлодипин;TABLET;5;MG
01210001155251;Золофт;Сертралин;TABLET;50;MG
01210001155275;Липримар;Аторвастатин;TABLET;10;MG
01210001155312;Липримар;Аторвастатин;TABLET;40;MG
01210001155329;Липримар;Аторвастатин;TABLET;20;MG
01210001155480;Лирика;Прегабалин;CAPSULE;300;MG
01210001155558;Липримар;Аторвастатин;TABLET;10;MG
01210001155565;Лирика;Прегабалин;CAPSULE;25;MG
01210001168480;Липримар;Аторвастатин;TABLET;80;MG
03393370008118;Зофран;Ондансетрон;SUPPOSITORY;16;MG
03400956093557;Норадреналин Агетан;Норэпинефрин;INJECTION;2;MG
03400956461035;Норадреналин Агетан;Норэпинефрин;INJECTION;2;MG
03400970000739;Гельминтокс;Пирантел;SUSPENSION;125;MG
03400970000746;Гельминтокс;Пирантел;TABLET;250;MG
03400970000753;Гельминтокс;Пирантел;TABLET;125;MG
03400970002818;Трайкор;Фенофибрат;TABLET;145;MG
03499381070486;Пазер;Аминосалициловая Кислота;POWDER;4;G
03556610000888;Тиенам;Имипенем+циластатин;POWDER;;
03573991426090;Навельбин;Винорелбин;INJECTION;10;MG
03573994000051;Навельбин;Винорелбин;CAPSULE;20;MG
03573994000068;Навельбин;Винорелбин;CAPSULE;30;MG
03574661154305;Имодиум Экспресс;Лоперамид;TABLET;2;MG
03574661507453;Тизин Классик;Ксилометазолин;SPRAY;;
03574661507484;Тизин Классик;Ксилометазолин;SPRAY;;
03574661767086;Тизин Классик;Ксилометазолин;SPRAY;;
03574661767116;Тизин Классик;Ксилометазолин;SPRAY;;
03574661773094;Имодиум Экспресс;Лоперамид;TABLET;2;MG
03574661773629;Имодиум Экспресс;Лоперамид;TABLET;2;MG
03574661773766;Имодиум Экспресс;Лоперамид;TABLET;2;MG
03574661859323;Тизин Классик;Ксилометазолин;SPRAY;;
03582180000126;Соматулин Аутожель;Ланреотид;OINTMENT;120;MG
03582180000133;Соматулин Аутожель;Ланреотид;OINTMENT;60;MG
03582180000140;Соматулин Аутожель;Ланреотид;OINTMENT;90;MG
03582180000515;Кабометикс;Кабозантиниб;TABLET;60;MG
03582180000522;Кабометикс;Кабозантиниб;TABLET;40;MG
03582180000539;Кабометикс;Кабозантиниб;TABLET;20;MG
03582180001819;Диспорт;Ботулинический Токсин Типа A-Гемагглютинин Комплекс;POWDER;;
03582180002014;Диферелин;Трипторелин;POWDER;22.5;MG
03582180003875;Кабометикс;Кабозантиниб;TABLET;20;MG
03582180003882;Кабометикс;Кабозантиниб;TABLET;40;MG
03582180003899;Кабометикс;Кабозантиниб;TABLET;60;MG
03582181923004;Смекта;Смектит Диоктаэдрический;POWDER;3;G
03582181923073;Смекта;Смектит Диоктаэдрический;POWDER;3;G
03582182850002;Диферелин;Трипторелин;POWDER;0.1;MG
03582182850033;Диферелин;Трипторелин;POWDER;3.75;MG
03582182886223;Фортранс;Макрогол;POWDER;64;G
03582183899703;Форлакс;Макрогол;POWDER;10;G
03582183899789;Форлакс;Макрогол;POWDER;10;G
03582184125658;Диферелин;Трипторелин;POWDER;11.25;MG
03582185810591;Диспорт;Комплекс Ботулинический Токсин Типа A-Гемагглютинин;POWDER;;
03582186000007;Смекта;Смектит Диоктаэдрический;POWDER;3;G
03582186000014;Смекта;Смектит Диоктаэдрический;POWDER;3;G
03582186000038;Соматулин Аутожель;Ланреотид;OINTMENT;120;MG
03582186000557;Соматулин Аутожель;Ланреотид;OINTMENT;120;MG
03582186001394;Диспорт;Ботулинический Токсин Типа A-Гемагглютинин Комплекс;POWDER;;
03582186003435;Диферелин;Трипторелин;POWDER;0.1;MG
03582186003442;Диферелин;Трипторелин;POWDER;11.25;MG
03582186003459;Диферелин;Трипторелин;POWDER;3.75;MG
03582186004500;Смекта;Смектит Диоктаэдрический;POWDER;3;G
03582186005606;Диспорт;Ботулинический Токсин Типа A-Гемагглютинин Комплекс;POWDER;;
03582186052129;Форлакс;Макрогол;POWDER;4;G
03582910000044;Кордарон;Амиодарон;TABLET;200;MG
03582910000105;Депакин;Вальпроевая Кислота;SYRUP;57.64;MG
03582910004301;Депакин хроно;Вальпроевая Кислота;TABLET;500;MG
03582910004318;Депакин хроно;Вальпроевая Кислота;TABLET;300;MG
03582910004349;Плавикс;Клопидогрел;TABLET;75;MG
03582910005292;Эглонил;Сульпирид;TABLET;200;MG
03582910005308;Эглонил;Сульпирид;CAPSULE;50;MG
03582910007654;Плаквенил;Гидроксихлорохин;TABLET;200;MG
03582910014188;Плавикс;Клопидогрел;TABLET;75;MG
03582910014349;Плавикс;Клопидогрел;TABLET;75;MG
03582910020400;Депакин Хроносфера;Вальпроевая Кислота;POWDER;100;MG
03582910020417;Депакин Хроносфера;Вальпроевая Кислота;POWDER;250;MG
03582910020424;Депакин Хроносфера;Вальпроевая Кислота;POWDER;500;MG
03582910020431;Депакин Хроносфера;Вальпроевая Кислота;POWDER;750;MG
03582910020448;Депакин Хроносфера;Вальпроевая Кислота;POWDER;1000;MG
03582910022183;Кордарон;Амиодарон;TABLET;200;MG
03582910028956;Таваник;Левофлоксацин;TABLET;500;MG
03582910028970;Таваник;Левофлоксацин;TABLET;250;MG
03582910030942;Неулептил;Перициазин;SYRUP;;
03582910037095;Апидра СолоСтар;Инсулин Глулизин;INJECTION;;
03582910037101;Лантус СолоСтар;Инсулин Гларгин;INJECTION;;
03582910037996;Депакин;Вальпроевая Кислота;SYRUP;57.64;MG
03582910039808;Плавикс;Клопидогрел;TABLET;300;MG
03582910039815;Плавикс;Клопидогрел;TABLET;75;MG
03582910041870;Но-шпа;Дротаверин;TABLET;40;MG
03582910049470;Но-шпа форте;Дротаверин;TABLET;80;MG
03582910049487;Но-шпа;Дротаверин;INJECTION;20;MG
03582910050049;Но-шпа;Дротаверин;TABLET;40;MG
03582910054511;Неулептил;Перициазин;SYRUP;;
03582910059745;Таваник;Левофлоксацин;TABLET;500;MG
03582910059752;Таваник;Левофлоксацин;TABLET;250;MG
03582910060758;Но-шпа;Дротаверин;TABLET;40;MG
03582910062172;Но-шпа форте;Дротаверин;TABLET;80;MG
03582910064930;Флагил;Метронидазол;TABLET;250;MG
03582910066606;Джевтана;Кабазитаксел;INJECTION;40;MG
03582910067337;Трентал;Пентоксифиллин;INJECTION;20;MG
03582910067542;Депакин;Вальпроевая Кислота;SYRUP;57.64;MG
03582910067986;Клексан;Эноксапарин Натрия;INJECTION;;
03582910071655;Залтрап;Афлиберцепт;INJECTION;25;MG
03582910071662;Залтрап;Афлиберцепт;INJECTION;25;MG
03582910072065;Клафоран;Цефотаксим;POWDER;1;G
03582910072294;Плаквенил;Гидроксихлорохин;TABLET;200;MG
03582910073482;Плавикс;Клопидогрел;TABLET;75;MG
03582910074267;Туджео СолоСтар;Инсулин Гларгин;INJECTION;;
03582910074274;Туджео СолоСтар;Инсулин Гларгин;INJECTION;;
03582910074588;Эглонил;Сульпирид;CAPSULE;50;MG
03582910075004;Но-шпа;Дротаверин;TABLET;40;MG
03582910079507;Соликва СолоСтар;Инсулин Гларгин + Ликсисенатид;INJECTION;;
03582910079521;Соликва СолоСтар;Инсулин Гларгин + Ликсисенатид;INJECTION;;
03582910080169;Зодак;Цетиризин;DROPS;10;MG
03582910080756;Но-шпа;Дротаверин;TABLET;40;MG
03582910080923;Пралуэнт;Алирокумаб;INJECTION;150;MG
03582910080930;Пралуэнт;Алирокумаб;INJECTION;75;MG
03582910082521;Гутталакс Экспресс;Бисакодил;SUPPOSITORY;10;MG
03582910082538;Дульколакс;Бисакодил;TABLET;5;MG
03582910082590;Лазолван;Амброксол;INHALER;7.5;MG
03582910082606;Лазолван;Амброксол;SYRUP;15;MG
03582910082613;Лазолван;Амброксол;SYRUP;30;MG
03582910082637;Лазолван;Амброксол;TABLET;30;MG
03582910082644;Лазолван;Амброксол;TABLET;30;MG
03582910082651;Лазолван Макс;Амброксол;CAPSULE;75;MG
03582910082828;Метформин Зентива;Метформин;TABLET;1000;MG
03582910082835;Метформин Зентива;Метформин;TABLET;1000;MG
03582910082842;Метформин Зентива;Метформин;TABLET;850;MG
03582910082859;Метформин Зентива;Метформин;TABLET;850;MG
03582910082866;Метформин Зентива;Метформин;TABLET;500;MG
03582910082873;Метформин Зентива;Метформин;TABLET;500;MG
03582910090441;Фабразим;Агалсидаза Бета;POWDER;35;MG
03582910090694;Лозап;Лозартан;TABLET;100;MG
03582910090700;Лозап;Лозартан;TABLET;100;MG
03582910090717;Лозап;Лозартан;TABLET;100;MG
03582910090724;Лозап;Лозартан;TABLET;50;MG
03582910090731;Лозап;Лозартан;TABLET;12.5;MG
03582910090748;Лозап;Лозартан;TABLET;50;MG
03582910090755;Лозап;Лозартан;TABLET;50;MG
03582910090762;Лозап;Лозартан;TABLET;12.5;MG
03582910091035;Коронал;Бисопролол;TABLET;10;MG
03582910091042;Коронал;Бисопролол;TABLET;5;MG
03582910091059;Коронал;Бисопролол;TABLET;10;MG
03582910091066;Коронал;Бисопролол;TABLET;5;MG
03582910091073;Коронал;Бисопролол;TABLET;10;MG
03582910091080;Коронал;Бисопролол;TABLET;5;MG
03582910091097;Фокусин;Тамсулозин;CAPSULE;0.4;MG
03582910091103;Фокусин;Тамсулозин;CAPSULE;0.4;MG
03582910091196;Торвакард;Аторвастатин;TABLET;10;MG
03582910091219;Торвакард;Аторвастатин;TABLET;20;MG
03582910091226;Торвакард;Аторвастатин;TABLET;40;MG
03582910091233;Торвакард;Аторвастатин;TABLET;10;MG
03582910091240;Торвакард;Аторвастатин;TABLET;20;MG
03582910091257;Торвакард;Аторвастатин;TABLET;40;MG
03582910530411;Эглонил;Сульпирид;TABLET;200;MG
03585550017373;Эффералган;Парацетамол;SYRUP;30;MG
03585550021479;Эффералган;Парацетамол;SUPPOSITORY;80;MG
03585550021486;Эффералган;Парацетамол;SUPPOSITORY;150;MG
03585550021493;Эффералган;Парацетамол;SUPPOSITORY;300;MG
03585552419830;Эффералган;Парацетамол;SYRUP;30;MG
03585553493655;Эффералган;Парацетамол;SUPPOSITORY;300;MG
03585553494034;Эффералган;Парацетамол;SUPPOSITORY;80;MG
03585553494133;Эффералган;Парацетамол;SUPPOSITORY;150;MG
03587080000207;Клексан;Эноксапарин Натрия;INJECTION;;
03587080001273;Клексан;Эноксапарин Натрия;INJECTION;;
03587080001532;Неулептил;Перициазин;CAPSULE;10;MG
03587080002171;Клексан;Эноксапарин Натрия;INJECTION;;
03587080003031;Клексан;Эноксапарин Натрия;INJECTION;;
03587080356700;Имован;Зопиклон;TABLET;7.5;MG
03587080643176;Флагил;Метронидазол;TABLET;250;MG
03592752805202;Отофа;Рифамицин;DROPS;;
03594451400030;Кораксан;Ивабрадин;TABLET;7.5;MG
03594451900073;Арифон;Индапамид;TABLET;2.5;MG
03594456600138;Престариум А;Периндоприл;TABLET;5;MG
03594456800125;Престариум А;Периндоприл;TABLET;10;MG
03596470000307;Дотарем;Гадотеровая Кислота;INJECTION;;
03596470000314;Дотарем;Гадотеровая Кислота;INJECTION;;
03596470000321;Дотарем;Гадотеровая Кислота;INJECTION;;
03596540070056;Глюкофаж Лонг;Метформин;TABLET;500;MG
