# pillbox-gtin version=2026-09-09 count=57672
#
# Штрихкоды упаковок. Собирается скриптом tools/extract_esklp.py —
# правьте исходники, а не этот файл.
#
# Два источника:
#   ЕСКЛП (Минздрав) — только ЖНВЛП: штрихкод там лежит в блоке
#     предельных цен, а он заполняется лишь для препаратов из перечня;
#   source/gtin_manual.tsv — коды с упаковок, внесённые вручную
#     (0 шт.): препараты вне перечня и БАДы.
#
# Код приведён к 14 знакам — так он приходит из кода маркировки.
#
# manual-gtins:
#
# Формат: код;название;действующее вещество;форма;дозировка;единица
gtin;name;inn;form;strength;unit
04605258019130;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019147;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019154;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019567;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019581;Глюкоза;Декстроза;INJECTION;;
04605258019598;Глюкоза;Декстроза;INJECTION;;
04605258019604;Глюкоза;Декстроза;INJECTION;;
04605258019611;Глюкоза;Декстроза;INJECTION;;
04605258019628;Глюкоза;Декстроза;INJECTION;;
04605258019635;Глюкоза;Декстроза;INJECTION;;
04605258019642;Глюкоза;Декстроза;INJECTION;;
04605258019659;Глюкоза;Декстроза;INJECTION;;
04605258019666;Глюкоза;Декстроза;INJECTION;;
04605258019673;Глюкоза;Декстроза;INJECTION;;
04605258019680;Глюкоза;Декстроза;INJECTION;;
04605258019697;Глюкоза;Декстроза;INJECTION;;
04605258019703;Глюкоза;Декстроза;INJECTION;;
04605258019710;Глюкоза;Декстроза;INJECTION;;
04605258019727;Глюкоза;Декстроза;INJECTION;;
04605258019734;Глюкоза;Декстроза;INJECTION;;
04605258019741;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019758;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019772;Глюкоза;Декстроза;INJECTION;;
04605258019789;Глюкоза;Декстроза;INJECTION;;
04605258019796;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019802;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019819;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019826;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019833;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019840;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258019857;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020105;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020112;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020129;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020136;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020143;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020150;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020167;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020174;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020181;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020198;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020204;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020211;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020228;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020235;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020242;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020259;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020266;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020273;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020280;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020297;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020303;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020310;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020327;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020334;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020341;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020365;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020372;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020402;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020419;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020426;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020433;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605258020457;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605260000324;Иммуноглобулиновый комплексный препарат для энтерального применения (КИП);Иммуноглобулин Человека Нормальный [igg+iga+igm];POWDER;300;MG
04605260002618;Вода для инъекций;Вода;INJECTION;;
04605260002724;Альбумин;Альбумин Человека;INJECTION;;
04605260002731;Диклофенак;Диклофенак;INJECTION;25;MG
04605260002748;Диклофенак;Диклофенак;INJECTION;25;MG
04605260002779;Гепарин;Гепарин Натрия;INJECTION;5000;IU
04605260002786;Гепарин;Гепарин Натрия;INJECTION;5000;IU
04605260002830;Иммуноглобулин человека против клещевого энцефалита;Иммуноглобулин Против Клещевого Энцефалита;INJECTION;;
04605260002892;Иммуноглобулин человека антистафилококковый;Иммуноглобулин Человека Противостафилококковый;INJECTION;100;IU
04605260003059;ЭнцеВир Вакцина клещевого энцефалита культуральная очищенная концентрированная инактивированная сорбированная;Вакцина Для Профилактики Клещевого Энцефалита;SUSPENSION;;
04605260003165;Альбумин;Альбумин Человека;INJECTION;;
04605260003240;Калия хлорид;Калия Хлорид;INJECTION;40;MG
04605260003493;Вода для инъекций;Вода;INJECTION;;
04605260003509;Вода для инъекций;Вода;INJECTION;;
04605260003516;Вода для инъекций;Вода;INJECTION;;
04605260003523;Вода для инъекций;Вода;INJECTION;;
04605260003554;Калия хлорид;Калия Хлорид;INJECTION;40;MG
04605260003646;Платифиллин;Платифиллин;INJECTION;2;MG
04605260003721;Вода для инъекций;Вода;INJECTION;;
04605260003738;Вода для инъекций;Вода;INJECTION;;
04605260003752;Бифидумбактерин;Бифидобактерии Бифидум;POWDER;;
04605260003813;ЭнцеВир Вакцина клещевого энцефалита культуральная очищенная концентрированная инактивированная сорбированная;Вакцина Для Профилактики Клещевого Энцефалита;SUSPENSION;;
04605260003875;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605260003882;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605260003899;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605260003905;ЭнцеВир Нео детский (Вакцина клещевого энцефалита культуральная очищенная концентрированная инактивированная сорбированная);Вакцина Для Профилактики Клещевого Энцефалита;SUSPENSION;;
04605260003912;ЭнцеВир Нео детский (Вакцина клещевого энцефалита культуральная очищенная концентрированная инактивированная сорбированная);Вакцина Для Профилактики Клещевого Энцефалита;SUSPENSION;;
04605260003967;Иммуноглобулин человека против клещевого энцефалита;Иммуноглобулин Против Клещевого Энцефалита;INJECTION;;
04605260003974;Иммуноглобулин человека антистафилококковый;Иммуноглобулин Человека Противостафилококковый;INJECTION;100;IU
04605260004049;Альбумин;Альбумин Человека;INJECTION;;
04605260004216;Иммуноглобулин человека нормальный;Иммуноглобулин Человека Нормальный;INJECTION;100;MG
04605260004223;Иммуноглобулин человека нормальный;Иммуноглобулин Человека Нормальный;INJECTION;100;MG
04605260004230;Бифидумбактерин;Бифидобактерии Бифидум;POWDER;;
04605286000100;Виферон;Интерферон Альфа-2b;SUPPOSITORY;150000;IU
04605286000117;Виферон;Интерферон Альфа-2b;SUPPOSITORY;500000;IU
04605286000124;Виферон;Интерферон Альфа-2b;SUPPOSITORY;1000000;IU
04605286000131;Виферон;Интерферон Альфа-2b;SUPPOSITORY;3000000;IU
04605286000179;Виферон;Интерферон Альфа-2b;OINTMENT;40000;IU
04605286000209;Виферон;Интерферон Альфа-2b;OINTMENT;36000;IU
04605286000681;Виферон;Интерферон Альфа-2b;SUPPOSITORY;150000;IU
04605286000698;Виферон;Интерферон Альфа-2b;SUPPOSITORY;150000;IU
04605286000704;Виферон;Интерферон Альфа-2b;SUPPOSITORY;500000;IU
04605286000711;Виферон;Интерферон Альфа-2b;SUPPOSITORY;1000000;IU
04605286000728;Виферон;Интерферон Альфа-2b;SUPPOSITORY;3000000;IU
04605286001015;Виферон;Интерферон Альфа-2b;SUPPOSITORY;500000;IU
04605286001022;Виферон;Интерферон Альфа-2b;SUPPOSITORY;1000000;IU
04605286001039;Виферон;Интерферон Альфа-2b;SUPPOSITORY;3000000;IU
04605286001046;Виферон;Интерферон Альфа-2b;SUPPOSITORY;150000;IU
04605286001053;Виферон;Интерферон Альфа-2b;SUPPOSITORY;500000;IU
04605286001060;Виферон;Интерферон Альфа-2b;SUPPOSITORY;1000000;IU
04605286001077;Виферон;Интерферон Альфа-2b;SUPPOSITORY;3000000;IU
04605286001084;Виферон;Интерферон Альфа-2b;OINTMENT;40000;IU
04605286001091;Виферон;Интерферон Альфа-2b;OINTMENT;36000;IU
04605310000021;Изониазид;Изониазид;TABLET;300;MG
04605310000144;Рифабутин;Рифабутин;CAPSULE;150;MG
04605310000212;Метронидазол;Метронидазол;TABLET;250;MG
04605310000502;Рифампицин;Рифампицин;CAPSULE;150;MG
04605310000656;Фуросемид;Фуросемид;TABLET;40;MG
04605310000892;Протуб-4;Изониазид+пиразинамид+рифампицин+этамбутол;TABLET;;
04605310000922;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001004;Протионамид;Протионамид;TABLET;250;MG
04605310001011;Протионамид;Протионамид;TABLET;250;MG
04605310001028;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001165;Протуб-4;Изониазид+пиразинамид+рифампицин+этамбутол;TABLET;;
04605310001226;Ломефлоксацин;Ломефлоксацин;TABLET;400;MG
04605310001264;Офлокс;Офлоксацин;TABLET;200;MG
04605310001400;Рифампицин;Рифампицин;CAPSULE;300;MG
04605310001417;Доксициклин;Доксициклин;CAPSULE;100;MG
04605310001462;Рапинов;Ропивакаин;INJECTION;2;MG
04605310001479;Рапинов;Ропивакаин;INJECTION;5;MG
04605310001486;Рапинов;Ропивакаин;INJECTION;7.5;MG
04605310001493;Рапинов;Ропивакаин;INJECTION;10;MG
04605310001554;Пиразинамид;Пиразинамид;TABLET;500;MG
04605310001578;Этамбутол;Этамбутол;TABLET;400;MG
04605310001585;Этамбутол;Этамбутол;TABLET;400;MG
04605310001660;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001677;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001684;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001691;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001707;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001714;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001721;Рапинов;Ропивакаин;INJECTION;2;MG
04605310001738;Рапинов;Ропивакаин;INJECTION;5;MG
04605310001769;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001776;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001783;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001790;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001806;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001813;Натрия пара-аминосалицилат;Аминосалициловая Кислота;POWDER;800;MG
04605310001912;Паск;Аминосалициловая Кислота;TABLET;500;MG
04605310001943;Паск;Аминосалициловая Кислота;TABLET;1000;MG
04605310001950;Паск;Аминосалициловая Кислота;TABLET;1000;MG
04605310001967;Паск;Аминосалициловая Кислота;TABLET;1000;MG
04605310001974;Пиразинамид;Пиразинамид;TABLET;500;MG
04605310001981;Пиразинамид;Пиразинамид;TABLET;500;MG
04605310002124;Протубпира;Изониазид+пиразинамид;TABLET;;
04605310002148;Протубпира;Изониазид+пиразинамид;TABLET;;
04605310002179;Протубпира;Изониазид+пиразинамид;TABLET;;
04605310002193;Протубпира;Изониазид+пиразинамид;TABLET;;
04605310002216;Протубэтам;Изониазид+этамбутол;TABLET;;
04605310002223;Протубэтам;Изониазид+этамбутол;TABLET;;
04605310002247;Протубэтам;Изониазид+этамбутол;TABLET;;
04605310002254;Протубэтам;Изониазид+этамбутол;TABLET;;
04605310002285;Фарбутин;Рифабутин;CAPSULE;150;MG
04605310002292;Фарбутин;Рифабутин;CAPSULE;150;MG
04605310002308;Фарбутин;Рифабутин;CAPSULE;150;MG
04605310002315;Фарбутин;Рифабутин;CAPSULE;150;MG
04605310002339;Протуб-3;Изониазид+пиразинамид+рифампицин;TABLET;;
04605310002346;Протуб-3;Изониазид+пиразинамид+рифампицин;TABLET;;
04605310002360;Протуб-3;Изониазид+пиразинамид+рифампицин;TABLET;;
04605310002377;Протуб-3;Изониазид+пиразинамид+рифампицин;TABLET;;
04605310002391;Протуб-3;Изониазид+пиразинамид+рифампицин;TABLET;;
04605310002407;Протуб-3;Изониазид+пиразинамид+рифампицин;TABLET;;
04605310002759;Фарбутин;Рифабутин;CAPSULE;150;MG
04605310002865;Перхлозон;Тиоуреидоиминометилпиридиния Перхлорат;TABLET;200;MG
04605310002902;Перхлозон;Тиоуреидоиминометилпиридиния Перхлорат;TABLET;400;MG
04605310002919;Протуб-4 плюс;Изониазид+пиразинамид+рифампицин+этамбутол+[пиридоксин];TABLET;;
04605310002926;Протуб-4 плюс;Изониазид+пиразинамид+рифампицин+этамбутол+[пиридоксин];TABLET;;
04605310002933;Протуб-4 плюс;Изониазид+пиразинамид+рифампицин+этамбутол+[пиридоксин];TABLET;;
04605310002940;Протуб-4 плюс;Изониазид+пиразинамид+рифампицин+этамбутол+[пиридоксин];TABLET;;
04605310002957;Протуб-4 плюс;Изониазид+пиразинамид+рифампицин+этамбутол+[пиридоксин];TABLET;;
04605310002964;Протуб-4 плюс;Изониазид+пиразинамид+рифампицин+этамбутол+[пиридоксин];TABLET;;
04605310002988;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310003022;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310003053;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310003060;Изониазид;Изониазид;TABLET;100;MG
04605310003077;Изониазид;Изониазид;TABLET;100;MG
04605310003084;Изониазид;Изониазид;TABLET;100;MG
04605310003114;Изониазид;Изониазид;TABLET;150;MG
04605310003121;Изониазид;Изониазид;TABLET;150;MG
04605310003169;Изониазид;Изониазид;TABLET;200;MG
04605310003176;Изониазид;Изониазид;TABLET;200;MG
04605310003435;Плевилокс;Моксифлоксацин;TABLET;400;MG
04605310003558;Капреомицин;Капреомицин;POWDER;1;G
04605310003565;Циклосерин-ЛОК-БЕТА;Циклосерин;CAPSULE;250;MG
04605310003589;Циклосерин;Циклосерин;CAPSULE;250;MG
04605310003596;Циклосерин;Циклосерин;CAPSULE;250;MG
04605310003602;Циклосерин;Циклосерин;CAPSULE;250;MG
04605310003688;Аминосалициловая кислота;Аминосалициловая Кислота;POWDER;13.49;G
04605310004043;Теризидон-ЛОК-БЕТА;Теризидон;CAPSULE;150;MG
04605310004050;Теризидон-ЛОК-БЕТА;Теризидон;CAPSULE;150;MG
04605310004067;Теризидон-ЛОК-БЕТА;Теризидон;CAPSULE;150;MG
04605310004074;Теризидон-ЛОК-БЕТА;Теризидон;CAPSULE;150;MG
04605310004098;Теризидон-ЛОК-БЕТА;Теризидон;CAPSULE;300;MG
04605310004104;Теризидон-ЛОК-БЕТА;Теризидон;CAPSULE;300;MG
04605310004111;Теризидон-ЛОК-БЕТА;Теризидон;CAPSULE;300;MG
04605310004128;Теризидон-ЛОК-БЕТА;Теризидон;CAPSULE;300;MG
04605310004500;Протионамид;Протионамид;TABLET;250;MG
04605310004517;Протионамид;Протионамид;TABLET;250;MG
04605310004524;Протионамид;Протионамид;TABLET;250;MG
04605310005477;Теризидон;Теризидон;CAPSULE;250;MG
04605310005484;Теризидон;Теризидон;CAPSULE;250;MG
04605310005491;Теризидон;Теризидон;CAPSULE;250;MG
04605310005507;Теризидон-ЛОК-БЕТА;Теризидон;CAPSULE;250;MG
04605310005538;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005545;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005552;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005569;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005576;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005583;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005590;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005606;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005613;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005620;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005682;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005699;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005705;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005712;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005729;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005743;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005750;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005767;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005774;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005781;Монопас;Аминосалициловая Кислота;POWDER;600;MG
04605310005989;Ставудин;Ставудин;CAPSULE;30;MG
04605310005996;Ставудин;Ставудин;CAPSULE;30;MG
04605310006009;Ставудин;Ставудин;CAPSULE;30;MG
04605310006016;Ставудин;Ставудин;CAPSULE;30;MG
04605310006023;Ставудин;Ставудин;CAPSULE;30;MG
04605310006030;Ставудин;Ставудин;CAPSULE;40;MG
04605310006047;Ставудин;Ставудин;CAPSULE;40;MG
04605310006054;Ставудин;Ставудин;CAPSULE;40;MG
04605310006061;Ставудин;Ставудин;CAPSULE;40;MG
04605310006078;Ставудин;Ставудин;CAPSULE;40;MG
04605310006542;Ставудин;Ставудин;CAPSULE;30;MG
04605310006740;Амивирен;Ламивудин;TABLET;150;MG
04605310006764;Амивирен;Ламивудин;TABLET;150;MG
04605310006801;Амивирен;Ламивудин;TABLET;300;MG
04605310006863;Невирпин;Невирапин;TABLET;100;MG
04605310006870;Невирпин;Невирапин;TABLET;100;MG
04605310006931;Невирпин;Невирапин;TABLET;200;MG
04605310006948;Невирпин;Невирапин;TABLET;200;MG
04605310007099;Азимитем;Зидовудин;TABLET;100;MG
04605310007105;Азимитем;Зидовудин;TABLET;100;MG
04605310007112;Азимитем;Зидовудин;TABLET;100;MG
04605310007129;Азимитем;Зидовудин;TABLET;100;MG
04605310007136;Азимитем;Зидовудин;TABLET;100;MG
04605310007143;Азимитем;Зидовудин;TABLET;100;MG
04605310007150;Азимитем;Зидовудин;TABLET;100;MG
04605310007167;Азимитем;Зидовудин;TABLET;100;MG
04605310007174;Азимитем;Зидовудин;TABLET;100;MG
04605310007181;Азимитем;Зидовудин;TABLET;100;MG
04605310007198;Азимитем;Зидовудин;TABLET;100;MG
04605310007204;Азимитем;Зидовудин;TABLET;100;MG
04605310007211;Азимитем;Зидовудин;TABLET;300;MG
04605310007228;Азимитем;Зидовудин;TABLET;300;MG
04605310007235;Азимитем;Зидовудин;TABLET;300;MG
04605310007242;Азимитем;Зидовудин;TABLET;300;MG
04605310007259;Азимитем;Зидовудин;TABLET;300;MG
04605310007266;Азимитем;Зидовудин;TABLET;300;MG
04605310007273;Азимитем;Зидовудин;TABLET;300;MG
04605310007280;Азимитем;Зидовудин;TABLET;300;MG
04605310007297;Азимитем;Зидовудин;TABLET;300;MG
04605310007303;Азимитем;Зидовудин;TABLET;300;MG
04605310007310;Азимитем;Зидовудин;TABLET;300;MG
04605310007327;Азимитем;Зидовудин;TABLET;300;MG
04605310007822;Дизаверокс;Зидовудин+ламивудин;TABLET;;
04605310007846;Дизаверокс;Зидовудин+ламивудин;TABLET;;
04605310008553;Кансамин;Циклосерин;CAPSULE;250;MG
04605310008560;Кансамин;Циклосерин;CAPSULE;250;MG
04605310008577;Кансамин;Циклосерин;CAPSULE;250;MG
04605310008584;Кансамин;Циклосерин;CAPSULE;250;MG
04605310008591;Кансамин;Циклосерин;CAPSULE;250;MG
04605310008607;Кансамин;Циклосерин;CAPSULE;250;MG
04605310008614;Кансамин;Циклосерин;CAPSULE;250;MG
04605310008621;Кансамин;Циклосерин;CAPSULE;250;MG
04605310008638;Кансамин;Циклосерин;CAPSULE;250;MG
04605310008645;Кансамин;Циклосерин;CAPSULE;500;MG
04605310008652;Кансамин;Циклосерин;CAPSULE;500;MG
04605310008669;Кансамин;Циклосерин;CAPSULE;500;MG
04605310008676;Кансамин;Циклосерин;CAPSULE;500;MG
04605310008683;Кансамин;Циклосерин;CAPSULE;500;MG
04605310008690;Кансамин;Циклосерин;CAPSULE;500;MG
04605310008706;Кансамин;Циклосерин;CAPSULE;500;MG
04605310008713;Кансамин;Циклосерин;CAPSULE;500;MG
04605310008720;Кансамин;Циклосерин;CAPSULE;500;MG
04605310008737;Кансамин;Циклосерин;CAPSULE;125;MG
04605310008744;Кансамин;Циклосерин;CAPSULE;125;MG
04605310008751;Кансамин;Циклосерин;CAPSULE;125;MG
04605310008768;Кансамин;Циклосерин;CAPSULE;125;MG
04605310008775;Кансамин;Циклосерин;CAPSULE;125;MG
04605310008782;Кансамин;Циклосерин;CAPSULE;125;MG
04605310008799;Кансамин;Циклосерин;CAPSULE;125;MG
04605310008805;Кансамин;Циклосерин;CAPSULE;125;MG
04605310008812;Кансамин;Циклосерин;CAPSULE;125;MG
04605310009055;Рапинов;Ропивакаин;INJECTION;7.5;MG
04605310009215;Вирфотен;Тенофовир;TABLET;150;MG
04605310009222;Вирфотен;Тенофовир;TABLET;150;MG
04605310009246;Вирфотен;Тенофовир;TABLET;150;MG
04605310009253;Вирфотен;Тенофовир;TABLET;150;MG
04605310009451;Вирфотен;Тенофовир;TABLET;300;MG
04605310009468;Вирфотен;Тенофовир;TABLET;300;MG
04605310009482;Вирфотен;Тенофовир;TABLET;300;MG
04605310009499;Вирфотен;Тенофовир;TABLET;300;MG
04605310009536;Локсидон;Теризидон;CAPSULE;150;MG
04605310009543;Локсидон;Теризидон;CAPSULE;150;MG
04605310009550;Локсидон;Теризидон;CAPSULE;150;MG
04605310009567;Локсидон;Теризидон;CAPSULE;150;MG
04605310009574;Локсидон;Теризидон;CAPSULE;150;MG
04605310009581;Локсидон;Теризидон;CAPSULE;150;MG
04605310009598;Локсидон;Теризидон;CAPSULE;150;MG
04605310009604;Локсидон;Теризидон;CAPSULE;150;MG
04605310009611;Локсидон;Теризидон;CAPSULE;150;MG
04605310009628;Локсидон;Теризидон;CAPSULE;250;MG
04605310009635;Локсидон;Теризидон;CAPSULE;250;MG
04605310009642;Локсидон;Теризидон;CAPSULE;250;MG
04605310009659;Локсидон;Теризидон;CAPSULE;250;MG
04605310009666;Локсидон;Теризидон;CAPSULE;250;MG
04605310009673;Локсидон;Теризидон;CAPSULE;250;MG
04605310009680;Локсидон;Теризидон;CAPSULE;250;MG
04605310009697;Локсидон;Теризидон;CAPSULE;250;MG
04605310009703;Локсидон;Теризидон;CAPSULE;250;MG
04605310009710;Локсидон;Теризидон;CAPSULE;300;MG
04605310009727;Локсидон;Теризидон;CAPSULE;300;MG
04605310009734;Локсидон;Теризидон;CAPSULE;300;MG
04605310009741;Локсидон;Теризидон;CAPSULE;300;MG
04605310009758;Локсидон;Теризидон;CAPSULE;300;MG
04605310009765;Локсидон;Теризидон;CAPSULE;300;MG
04605310009772;Локсидон;Теризидон;CAPSULE;300;MG
04605310009789;Локсидон;Теризидон;CAPSULE;300;MG
04605310009796;Локсидон;Теризидон;CAPSULE;300;MG
04605310010129;Амизолид;Линезолид;TABLET;200;MG
04605310010136;Амизолид;Линезолид;TABLET;200;MG
04605310010143;Амизолид;Линезолид;TABLET;200;MG
04605310010150;Амизолид;Линезолид;TABLET;200;MG
04605310010167;Амизолид;Линезолид;TABLET;200;MG
04605310010174;Амизолид;Линезолид;TABLET;200;MG
04605310010181;Амизолид;Линезолид;TABLET;200;MG
04605310010198;Амизолид;Линезолид;TABLET;200;MG
04605310010204;Амизолид;Линезолид;TABLET;200;MG
04605310010211;Амизолид;Линезолид;TABLET;200;MG
04605310010228;Амизолид;Линезолид;TABLET;200;MG
04605310010235;Амизолид;Линезолид;TABLET;200;MG
04605310010242;Амизолид;Линезолид;TABLET;200;MG
04605310010259;Амизолид;Линезолид;TABLET;400;MG
04605310010273;Амизолид;Линезолид;TABLET;400;MG
04605310010280;Амизолид;Линезолид;TABLET;400;MG
04605310010303;Амизолид;Линезолид;TABLET;400;MG
04605310010310;Амизолид;Линезолид;TABLET;400;MG
04605310010327;Амизолид;Линезолид;TABLET;400;MG
04605310010334;Амизолид;Линезолид;TABLET;400;MG
04605310010341;Амизолид;Линезолид;TABLET;400;MG
04605310010358;Амизолид;Линезолид;TABLET;400;MG
04605310010365;Амизолид;Линезолид;TABLET;400;MG
04605310010372;Амизолид;Линезолид;TABLET;400;MG
04605310010389;Амизолид;Линезолид;TABLET;600;MG
04605310010396;Амизолид;Линезолид;TABLET;600;MG
04605310010402;Амизолид;Линезолид;TABLET;600;MG
04605310010419;Амизолид;Линезолид;TABLET;600;MG
04605310010426;Амизолид;Линезолид;TABLET;600;MG
04605310010433;Амизолид;Линезолид;TABLET;600;MG
04605310010440;Амизолид;Линезолид;TABLET;600;MG
04605310010457;Амизолид;Линезолид;TABLET;600;MG
04605310010464;Амизолид;Линезолид;TABLET;600;MG
04605310010471;Амизолид;Линезолид;TABLET;600;MG
04605310010488;Амизолид;Линезолид;TABLET;600;MG
04605310010495;Амизолид;Линезолид;TABLET;600;MG
04605310010501;Амизолид;Линезолид;TABLET;600;MG
04605310010518;Вода для инъекций;Вода;INJECTION;;
04605310010525;Вода для инъекций;Вода;INJECTION;;
04605310010532;Вода для инъекций;Вода;INJECTION;;
04605310010549;Вода для инъекций;Вода;INJECTION;;
04605310010556;Вода для инъекций;Вода;INJECTION;;
04605310010563;Вода для инъекций;Вода;INJECTION;;
04605310010570;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605310010587;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605310010594;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605310010600;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605310010617;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605310010624;Натрия хлорид;Натрия Хлорид;INJECTION;;
04605310010648;Регаст;Эфавиренз;TABLET;100;MG
04605310010655;Регаст;Эфавиренз;TABLET;100;MG
04605310010679;Регаст;Эфавиренз;TABLET;100;MG
04605310010686;Регаст;Эфавиренз;TABLET;100;MG
04605310010709;Регаст;Эфавиренз;TABLET;300;MG
04605310010747;Регаст;Эфавиренз;TABLET;300;MG
04605310010792;Регаст;Эфавиренз;TABLET;400;MG
04605310010822;Регаст;Эфавиренз;TABLET;400;MG
04605310010846;Регаст;Эфавиренз;TABLET;600;MG
04605310010891;Регаст;Эфавиренз;TABLET;600;MG
04605310010990;Олитид;Абакавир;TABLET;600;MG
04605310011003;Олитид;Абакавир;TABLET;600;MG
04605310011010;Олитид;Абакавир;TABLET;600;MG
04605310011027;Олитид;Абакавир;TABLET;600;MG
04605310011034;Олитид;Абакавир;TABLET;600;MG
04605310011041;Олитид;Абакавир;TABLET;600;MG
04605310011058;Олитид;Абакавир;TABLET;600;MG
